Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,1.37673,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,59,1,1,99,99,u,1.37673,1,2,59,0,59,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,2.020655,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,60,1,1,99,99,i,2.020655,1,2,60,0,60,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,3.786395,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,61,1,1,99,99,i,3.786395,1,2,61,0,61,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,1.42709,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,62,1,1,99,99,u,1.42709,1,2,62,0,62,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.951865,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,63,1,1,99,99,h,1.951865,1,2,63,0,63,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.61368,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,64,1,1,99,99,u,0.61368,1,2,64,0,64,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.70138,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,65,1,1,99,99,h,0.70138,1,2,65,0,65,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.46779,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,66,1,1,99,99,h,0.46779,1,2,66,0,66,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.761595,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,67,1,1,99,99,i,0.761595,1,2,67,0,67,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.82488,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,68,1,1,99,99,h,0.82488,1,2,68,0,68,0,1,,,,,
