Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran,Instr_End_Exp_Key.keys,Instr_End_Exp_Key.rt
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.54787,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,41,1,1,99,99,h,0.54787,1,4,41,0,41,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.481395,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,42,1,1,99,99,i,0.481395,1,4,42,0,42,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.709235,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,43,1,1,99,99,h,0.709235,1,4,43,0,43,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.88762,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,44,1,1,99,99,h,0.88762,1,4,44,0,44,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.661825,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,45,1,1,99,99,u,0.661825,1,4,45,0,45,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.72046,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,46,1,1,99,99,h,0.72046,1,4,46,0,46,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.48074,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,47,1,1,99,99,u,0.48074,1,4,47,0,47,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,0,0.57683,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,48,1,1,99,99,h,0.57683,0,4,48,0,48,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.83301,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,49,1,1,99,99,i,0.83301,1,4,49,0,49,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.96386,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,50,1,1,99,99,u,0.96386,1,4,50,0,50,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.586765,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,51,1,1,99,99,h,0.586765,1,4,51,0,51,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.76639,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,52,1,1,99,99,i,0.76639,1,4,52,0,52,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.98514,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,53,1,1,99,99,i,0.98514,1,4,53,0,53,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.76465,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,54,1,1,99,99,h,0.76465,1,4,54,0,54,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.57572,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,55,1,1,99,99,u,0.57572,1,4,55,0,55,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.600615,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,56,1,1,99,99,i,0.600615,1,4,56,0,56,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.581545,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,57,1,1,99,99,h,0.581545,1,4,57,0,57,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,0,0.79671,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,58,1,1,99,99,h,0.79671,0,4,58,0,58,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.575705,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,59,1,1,99,99,i,0.575705,1,4,59,0,59,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,1.02936,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,60,1,1,99,99,u,1.02936,1,4,60,0,60,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.7829,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,61,1,1,99,99,i,0.7829,1,4,61,0,61,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.5965,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,62,1,1,99,99,h,0.5965,1,4,62,0,62,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.716075,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,63,1,1,99,99,u,0.716075,1,4,63,0,63,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.55046,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,64,1,1,99,99,h,0.55046,1,4,64,0,64,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.59836,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,65,1,1,99,99,i,0.59836,1,4,65,0,65,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.736095,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,66,1,1,99,99,h,0.736095,1,4,66,0,66,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.752145,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,67,1,1,99,99,i,0.752145,1,4,67,0,67,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.840565,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,68,1,1,99,99,i,0.840565,1,4,68,0,68,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.86182,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,69,1,1,99,99,u,0.86182,1,4,69,0,69,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.78171,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,70,1,1,99,99,h,0.78171,1,4,70,0,70,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.717925,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,71,1,1,99,99,u,0.717925,1,4,71,0,71,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.00829,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,72,1,1,99,99,h,1.00829,1,4,72,0,72,0,1,,,,,,,
